s,a,r,sp
13678,3,-1000000,13678
13678,1,-1000000,13678
13678,0,2321452.2314815773,013678
013678,2,120206.83701399434,0123678
0123678,8,-1000000,0123678
0123678,4,0.0,01234678
01234678,0,-1000000,01234678
01234678,8,-1000000,01234678
01234678,8,-1000000,01234678
01234678,3,-1000000,01234678
01234678,6,-1000000,01234678
01234678,7,-1000000,01234678
01234678,0,-1000000,01234678
01234678,4,-1000000,01234678
01234678,1,-1000000,01234678
01234678,3,-1000000,01234678
01234678,3,-1000000,01234678
01234678,1,-1000000,01234678
01234678,4,-1000000,01234678
01234678,3,-1000000,01234678
01234678,0,-1000000,01234678
01234678,0,-1000000,01234678
01234678,2,-1000000,01234678
01234678,2,-1000000,01234678
01234678,8,-1000000,01234678
01234678,7,-1000000,01234678
01234678,5,0.0,012345678
012345678,6,-1000000,012345678
,3,2337822.7996203518,3
3,8,2808594.1048810845,38
38,5,108500.57143470459,358
358,6,0.0,3568
3568,5,-1000000,3568
3568,3,-1000000,3568
3568,7,0.0,35678
35678,4,2899957.6613291074,345678
345678,6,-1000000,345678
345678,7,-1000000,345678
345678,1,-5194160.9415385965,1345678
1345678,2,2928800.941895078,12345678
12345678,5,-1000000,12345678
12345678,5,-1000000,12345678
12345678,7,-1000000,12345678
12345678,2,-1000000,12345678
12345678,6,-1000000,12345678
12345678,7,-1000000,12345678
12345678,5,-1000000,12345678
12345678,5,-1000000,12345678
12345678,3,-1000000,12345678
12345678,2,-1000000,12345678
12345678,3,-1000000,12345678
12345678,1,-1000000,12345678
12345678,0,2321672.526447485,012345678
012345678,8,-1000000,012345678
,4,2899957.661329106,4
4,1,420998.48181903036,14
14,3,13212.818929300178,134
134,3,-1000000,134
134,7,67206.18631668249,1347
1347,2,2550124.6056674216,12347
12347,3,-1000000,12347
12347,1,-1000000,12347
12347,1,-1000000,12347
12347,0,2326894.096324357,012347
012347,6,0.0,0123467
0123467,6,-1000000,0123467
0123467,4,-1000000,0123467
0123467,3,-1000000,0123467
0123467,7,-1000000,0123467
0123467,2,-1000000,0123467
0123467,4,-1000000,0123467
0123467,4,-1000000,0123467
0123467,2,-1000000,0123467
0123467,4,-1000000,0123467
0123467,0,-1000000,0123467
0123467,2,-1000000,0123467
0123467,3,-1000000,0123467
0123467,3,-1000000,0123467
0123467,3,-1000000,0123467
0123467,2,-1000000,0123467
0123467,4,-1000000,0123467
0123467,4,-1000000,0123467
0123467,4,-1000000,0123467
0123467,3,-1000000,0123467
0123467,0,-1000000,0123467
0123467,7,-1000000,0123467
0123467,4,-1000000,0123467
0123467,1,-1000000,0123467
0123467,8,0.0,01234678
01234678,6,-1000000,01234678
01234678,3,-1000000,01234678
01234678,7,-1000000,01234678
01234678,5,-67206.18631668296,012345678
012345678,4,-1000000,012345678
,6,2475132.7582064047,6
6,1,2942279.806920478,16
16,1,-1000000,16
16,8,2808594.1048810845,168
168,3,-2475132.758206404,1368
1368,7,2881.2296194806695,13678
13678,3,-1000000,13678
13678,0,2340106.915253658,013678
013678,6,-1000000,013678
013678,0,-1000000,013678
013678,5,-2506504.806519714,0135678
0135678,2,2623830.413914227,01235678
01235678,8,-1000000,01235678
01235678,4,0.0,012345678
012345678,7,-1000000,012345678
,0,2340106.915253657,0
0,1,2942279.806920479,01
01,1,-1000000,01
01,5,0.0,015
015,6,5137.071897758171,0156
0156,6,-1000000,0156
0156,7,1.5063941925764084,01567
01567,8,2808594.1048810845,015678
015678,4,-2795048.9783278126,0145678
0145678,5,-1000000,0145678
0145678,7,-1000000,0145678
0145678,6,-1000000,0145678
0145678,2,2910117.237049856,01245678
01245678,7,-1000000,01245678
01245678,7,-1000000,01245678
01245678,1,-1000000,01245678
01245678,5,-1000000,01245678
01245678,0,-1000000,01245678
01245678,8,-1000000,01245678
01245678,2,-1000000,01245678
01245678,1,-1000000,01245678
01245678,2,-1000000,01245678
01245678,7,-1000000,01245678
01245678,5,-1000000,01245678
01245678,0,-1000000,01245678
01245678,0,-1000000,01245678
01245678,4,-1000000,01245678
01245678,5,-1000000,01245678
01245678,0,-1000000,01245678
01245678,6,-1000000,01245678
01245678,2,-1000000,01245678
01245678,2,-1000000,01245678
01245678,5,-1000000,01245678
01245678,0,-1000000,01245678
01245678,1,-1000000,01245678
01245678,5,-1000000,01245678
01245678,7,-1000000,01245678
01245678,2,-1000000,01245678
01245678,3,0.0,012345678
012345678,0,-1000000,012345678
,0,2340106.915253657,0
0,2,2928800.941895078,02
02,1,2942279.80692048,012
012,6,0.0,0126
0126,2,-1000000,0126
0126,8,1346035.1995413024,01268
01268,1,-1000000,01268
01268,0,-1000000,01268
01268,4,-1346035.1995413024,012468
012468,3,0.0,0123468
0123468,5,0.0,01234568
01234568,1,-1000000,01234568
01234568,3,-1000000,01234568
01234568,1,-1000000,01234568
01234568,8,-1000000,01234568
01234568,4,-1000000,01234568
01234568,7,12053.466329623014,012345678
012345678,4,-1000000,012345678
,7,2899957.661329106,7
7,4,6985.008789273445,47
47,6,0.0,467
467,1,35337.13680209918,1467
1467,0,2340106.9152536574,01467
01467,7,-1000000,01467
01467,6,-1000000,01467
01467,7,-1000000,01467
01467,8,2808594.1048810845,014678
014678,8,-1000000,014678
014678,5,-2808594.1048810845,0145678
0145678,1,-1000000,0145678
0145678,6,-1000000,0145678
0145678,7,-1000000,0145678
0145678,3,0.0,01345678
01345678,0,-1000000,01345678
01345678,2,2928800.941895079,012345678
012345678,5,-1000000,012345678
,1,2942279.8069204786,1
1,2,2928800.9418950784,12
12,4,0.0,124
124,1,-1000000,124
124,1,-1000000,124
124,6,2475132.7582064047,1246
1246,3,-2475101.995200461,12346
12346,4,-1000000,12346
12346,5,0.0,123456
123456,1,-1000000,123456
123456,0,2340076.152247714,0123456
0123456,8,17001.03499978129,01234568
01234568,5,-1000000,01234568
01234568,3,-1000000,01234568
01234568,2,-1000000,01234568
01234568,8,-1000000,01234568
01234568,3,-1000000,01234568
01234568,5,-1000000,01234568
01234568,5,-1000000,01234568
01234568,4,-1000000,01234568
01234568,0,-1000000,01234568
01234568,8,-1000000,01234568
01234568,2,-1000000,01234568
01234568,3,-1000000,01234568
01234568,2,-1000000,01234568
01234568,5,-1000000,01234568
01234568,3,-1000000,01234568
01234568,1,-1000000,01234568
01234568,1,-1000000,01234568
01234568,0,-1000000,01234568
01234568,5,-1000000,01234568
01234568,6,-1000000,01234568
01234568,2,-1000000,01234568
01234568,0,-1000000,01234568
01234568,4,-1000000,01234568
01234568,3,-1000000,01234568
01234568,1,-1000000,01234568
01234568,7,0.0,012345678
012345678,4,-1000000,012345678
,5,2917094.6763157896,5
5,1,25185.13060468901,15
15,3,0.0,135
135,2,2928800.9418950784,1235
1235,6,2475132.7582064047,12356
12356,5,-1000000,12356
12356,4,-2475132.7582064047,123456
123456,2,-1000000,123456
123456,3,-1000000,123456
123456,3,-1000000,123456
123456,0,2340106.915253658,0123456
0123456,4,-1000000,0123456
0123456,5,-1000000,0123456
0123456,6,-1000000,0123456
0123456,1,-1000000,0123456
0123456,8,0.0,01234568
01234568,0,-1000000,01234568
01234568,6,-1000000,01234568
01234568,1,-1000000,01234568
01234568,0,-1000000,01234568
01234568,0,-1000000,01234568
01234568,5,-1000000,01234568
01234568,3,-1000000,01234568
01234568,4,-1000000,01234568
01234568,0,-1000000,01234568
01234568,7,16170.33058959525,012345678
012345678,1,-1000000,012345678
,6,2475132.7582064047,6
6,5,2917094.67631579,56
56,4,424824.90312270075,456
456,8,845.1888824319467,4568
4568,4,-1000000,4568
4568,6,-1000000,4568
4568,8,-1000000,4568
4568,7,0.6203246591612697,45678
45678,0,-528498.4851226341,045678
045678,0,-1000000,045678
045678,6,-1000000,045678
045678,4,-1000000,045678
045678,6,-1000000,045678
045678,2,-20491.184255958535,0245678
0245678,7,-1000000,0245678
0245678,4,-1000000,0245678
0245678,0,-1000000,0245678
0245678,8,-1000000,0245678
0245678,3,22.52817881014198,02345678
02345678,7,-1000000,02345678
02345678,7,-1000000,02345678
02345678,5,-1000000,02345678
02345678,6,-1000000,02345678
02345678,2,-1000000,02345678
02345678,7,-1000000,02345678
02345678,6,-1000000,02345678
02345678,1,2942256.6584170107,012345678
012345678,3,-1000000,012345678
,1,2942279.8069204786,1
1,4,35.37318504136056,14
14,6,2314490.568032932,146
146,3,-2314490.568032932,1346
1346,2,2928765.568710037,12346
12346,1,-1000000,12346
12346,3,-1000000,12346
12346,0,2340106.915253658,012346
012346,1,-1000000,012346
012346,0,-1000000,012346
012346,3,-1000000,012346
012346,0,-1000000,012346
012346,6,-1000000,012346
012346,3,-1000000,012346
012346,7,0.0,0123467
0123467,8,0.0,01234678
01234678,7,-1000000,01234678
01234678,3,-1000000,01234678
01234678,4,-1000000,01234678
01234678,6,-1000000,01234678
01234678,8,-1000000,01234678
01234678,2,-1000000,01234678
01234678,6,-1000000,01234678
01234678,4,-1000000,01234678
01234678,1,-1000000,01234678
01234678,8,-1000000,01234678
01234678,4,-1000000,01234678
01234678,1,-1000000,01234678
01234678,0,-1000000,01234678
01234678,7,-1000000,01234678
01234678,5,0.0,012345678
012345678,2,-1000000,012345678
,5,2917094.6763157896,5
5,7,542505.994630082,57
57,7,-1000000,57
57,8,0.0,578
578,6,2475132.7582064047,5678
5678,4,-49620.268083175644,45678
45678,6,-1000000,45678
45678,3,2269761.9761961475,345678
345678,8,-1000000,345678
345678,6,-1000000,345678
345678,4,-1000000,345678
345678,7,-1000000,345678
345678,2,-2887878.592276401,2345678
2345678,4,-1000000,2345678
2345678,7,-1000000,2345678
2345678,8,-1000000,2345678
2345678,0,1911.312159887515,02345678
02345678,7,-1000000,02345678
02345678,2,-1000000,02345678
02345678,4,-1000000,02345678
02345678,0,-1000000,02345678
02345678,2,-1000000,02345678
02345678,1,2942279.80692048,012345678
012345678,7,-1000000,012345678
,8,2808594.1048810845,8
8,8,-1000000,8
8,0,2340106.915253657,08
08,1,2942279.806920479,018
018,4,-2808594.1048810845,0148
0148,4,-1000000,0148
0148,7,188.6776489680633,01478
01478,0,-1000000,01478
01478,4,-1000000,01478
01478,6,0.0,014678
014678,5,41887.57012640033,0145678
0145678,4,-1000000,0145678
0145678,0,-1000000,0145678
0145678,1,-1000000,0145678
0145678,8,-1000000,0145678
0145678,8,-1000000,0145678
0145678,0,-1000000,0145678
0145678,7,-1000000,0145678
0145678,3,0.0,01345678
01345678,3,-1000000,01345678
01345678,6,-1000000,01345678
01345678,8,-1000000,01345678
01345678,3,-1000000,01345678
01345678,1,-1000000,01345678
01345678,5,-1000000,01345678
01345678,7,-1000000,01345678
01345678,2,2886724.6941197105,012345678
012345678,8,-1000000,012345678
,2,2928800.9418950784,2
2,4,2849.581667982042,24
24,4,-1000000,24
24,4,-1000000,24
24,2,-1000000,24
24,6,1442911.9281609156,246
246,6,-1000000,246
246,5,0.0,2456
2456,4,-1000000,2456
2456,4,-1000000,2456
2456,6,-1000000,2456
2456,4,-1000000,2456
2456,7,2024757.9579322971,24567
24567,0,894345.4255667347,024567
024567,2,-1000000,024567
024567,3,-2024757.978074273,0234567
0234567,4,-1000000,0234567
0234567,8,0.0,02345678
02345678,2,-1000000,02345678
02345678,6,-1000000,02345678
02345678,5,-1000000,02345678
02345678,2,-1000000,02345678
02345678,1,2942279.80692048,012345678
012345678,0,-1000000,012345678
,3,2337822.7996203518,3
3,1,604457.0073001268,13
13,5,0.0,135
135,7,41215.24092277605,1357
1357,8,2808594.104881084,13578
13578,7,-1000000,13578
13578,2,120206.83701399434,123578
123578,8,-1000000,123578
123578,0,2340106.915253658,0123578
0123578,2,-1000000,0123578
0123578,5,-1000000,0123578
0123578,5,-1000000,0123578
0123578,4,-36503.119565830566,01234578
01234578,3,-1000000,01234578
01234578,7,-1000000,01234578
01234578,3,-1000000,01234578
01234578,7,-1000000,01234578
01234578,5,-1000000,01234578
01234578,4,-1000000,01234578
01234578,3,-1000000,01234578
01234578,2,-1000000,01234578
01234578,6,0.0,012345678
012345678,8,-1000000,012345678
,6,2475132.7582064047,6
6,0,-106604.96775144245,06
06,0,-1000000,06
06,8,2808594.1048810845,068
068,6,-1000000,068
068,3,-28420.875201305375,0368
0368,6,-1000000,0368
0368,1,2942279.806920479,01368
01368,7,0.0,013678
013678,3,-1000000,013678
013678,6,-1000000,013678
013678,0,-1000000,013678
013678,6,-1000000,013678
013678,4,-2808594.1048810845,0134678
0134678,1,-1000000,0134678
0134678,8,-1000000,0134678
0134678,6,-1000000,0134678
0134678,4,-1000000,0134678
0134678,7,-1000000,0134678
0134678,2,2928800.941895079,01234678
01234678,8,-1000000,01234678
01234678,0,-1000000,01234678
01234678,7,-1000000,01234678
01234678,7,-1000000,01234678
01234678,5,0.0,012345678
012345678,4,-1000000,012345678
,3,2337822.7996203518,3
3,7,25075.63849744387,37
37,4,2874882.0228316626,347
347,0,-2897673.5456958013,0347
0347,0,-1000000,0347
0347,8,2808594.1048810845,03478
03478,3,-1000000,03478
03478,5,108500.57143470459,034578
034578,7,-1000000,034578
034578,0,-1000000,034578
034578,3,-1000000,034578
034578,4,-1000000,034578
034578,7,-1000000,034578
034578,6,433.8459548158571,0345678
0345678,2,11706.265579288825,02345678
02345678,3,-1000000,02345678
02345678,4,-1000000,02345678
02345678,8,-1000000,02345678
02345678,7,-1000000,02345678
02345678,5,-1000000,02345678
02345678,5,-1000000,02345678
02345678,2,-1000000,02345678
02345678,4,-1000000,02345678
02345678,1,2942279.80692048,012345678
012345678,2,-1000000,012345678
,7,2899957.661329106,7
7,7,-1000000,7
7,7,-1000000,7
7,7,-1000000,7
7,3,-562134.8617087542,37
37,3,-1000000,37
37,4,2899957.6613291064,347
347,1,-2283654.3046855796,1347
1347,0,2328260.5659102574,01347
01347,2,2928800.941895079,012347
012347,4,-1000000,012347
012347,8,0.0,0123478
0123478,6,0.0,01234678
01234678,6,-1000000,01234678
01234678,3,-1000000,01234678
01234678,1,-1000000,01234678
01234678,5,77111.38913206477,012345678
012345678,0,-1000000,012345678
,0,2340106.915253657,0
0,2,2928800.941895078,02
02,4,0.0,024
024,4,-1000000,024
024,3,11660.505051141605,0234
0234,0,-1000000,0234
0234,0,-1000000,0234
0234,2,-1000000,0234
0234,4,-1000000,0234
0234,3,-1000000,0234
0234,5,1439.3652090625837,02345
02345,7,1806340.4358352497,023457
023457,4,-1000000,023457
023457,6,0.0,0234567
0234567,6,-1000000,0234567
0234567,5,-1000000,0234567
0234567,3,-1000000,0234567
0234567,5,-1000000,0234567
0234567,8,0.0,02345678
02345678,4,-1000000,02345678
02345678,4,-1000000,02345678
02345678,6,-1000000,02345678
02345678,7,-1000000,02345678
02345678,6,-1000000,02345678
02345678,7,-1000000,02345678
02345678,4,-1000000,02345678
02345678,1,1136613.9214016628,012345678
012345678,1,-1000000,012345678
,4,2899957.661329106,4
4,5,2917094.6763157896,45
45,1,-2874772.530724417,145
145,5,-1000000,145
145,7,0.0,1457
1457,4,-1000000,1457
1457,6,2475132.7582064043,14567
14567,0,-118099.73538785055,014567
014567,5,-1000000,014567
014567,7,-1000000,014567
014567,5,-1000000,014567
014567,3,-16926.107564896345,0134567
0134567,7,-1000000,0134567
0134567,6,-1000000,0134567
0134567,1,-1000000,0134567
0134567,5,-1000000,0134567
0134567,2,2928800.941895079,01234567
01234567,3,-1000000,01234567
01234567,2,-1000000,01234567
01234567,5,-1000000,01234567
01234567,2,-1000000,01234567
01234567,7,-1000000,01234567
01234567,6,-1000000,01234567
01234567,3,-1000000,01234567
01234567,6,-1000000,01234567
01234567,1,-1000000,01234567
01234567,4,-1000000,01234567
01234567,5,-1000000,01234567
01234567,2,-1000000,01234567
01234567,7,-1000000,01234567
01234567,0,-1000000,01234567
01234567,8,0.0,012345678
012345678,3,-1000000,012345678
,1,2942279.8069204786,1
1,1,-1000000,1
1,3,0.0,13
13,6,2475132.7582064043,136
136,2,2928800.941895079,1236
1236,2,-1000000,1236
1236,1,-1000000,1236
1236,5,0.0,12356
12356,4,-2472224.4149190923,123456
123456,4,-1000000,123456
123456,5,-1000000,123456
123456,7,0.0,1234567
1234567,7,-1000000,1234567
