s,a,r,sp
012456,2,-1000000,012456
012456,1,-1000000,012456
012456,6,-1000000,012456
012456,2,-1000000,012456
012456,1,-1000000,012456
012456,7,7384.633061262779,0124567
0124567,0,-1000000,0124567
0124567,0,-1000000,0124567
0124567,6,-1000000,0124567
0124567,1,-1000000,0124567
0124567,0,-1000000,0124567
0124567,6,-1000000,0124567
0124567,5,-1000000,0124567
0124567,0,-1000000,0124567
0124567,2,-1000000,0124567
0124567,4,-1000000,0124567
0124567,3,-3827.3907991889864,01234567
01234567,3,-1000000,01234567
01234567,4,-1000000,01234567
01234567,8,47474.287229264155,012345678
012345678,3,-1000000,012345678
,4,2899957.661329106,4
4,3,2337822.799620352,34
34,3,-1000000,34
34,5,2917094.67631579,345
345,8,0.0,3458
3458,2,-2871517.7287551034,23458
23458,2,-1000000,23458
23458,7,188135.93975108955,234578
234578,7,-1000000,234578
234578,8,-1000000,234578
234578,4,-1000000,234578
234578,4,-1000000,234578
234578,1,399587.40055432264,1234578
1234578,1,-1000000,1234578
1234578,7,-1000000,1234578
1234578,2,-1000000,1234578
1234578,5,-1000000,1234578
1234578,5,-1000000,1234578
1234578,5,-1000000,1234578
1234578,1,-1000000,1234578
1234578,6,2475132.7582064047,12345678
12345678,4,-1000000,12345678
12345678,0,-135025.8429527469,012345678
012345678,6,-1000000,012345678
,3,2337822.7996203518,3
3,0,2285.903544741217,03
03,6,0.0,036
036,7,2851741.7600178295,0367
0367,4,-2851717.9436411536,03467
03467,2,2928800.9418950775,023467
023467,5,-23.816376675851643,0234567
0234567,1,2942278.0190090444,01234567
01234567,2,-1000000,01234567
01234567,2,-1000000,01234567
01234567,3,-1000000,01234567
01234567,1,-1000000,01234567
01234567,1,-1000000,01234567
01234567,6,-1000000,01234567
01234567,2,-1000000,01234567
01234567,7,-1000000,01234567
01234567,1,-1000000,01234567
01234567,7,-1000000,01234567
01234567,1,-1000000,01234567
01234567,3,-1000000,01234567
01234567,2,-1000000,01234567
01234567,5,-1000000,01234567
01234567,0,-1000000,01234567
01234567,5,-1000000,01234567
01234567,5,-1000000,01234567
01234567,7,-1000000,01234567
01234567,0,-1000000,01234567
01234567,3,-1000000,01234567
01234567,5,-1000000,01234567
01234567,8,0.0,012345678
012345678,7,-1000000,012345678
,4,2899957.661329106,4
4,6,916277.3169041071,46
46,5,2917094.6763157896,456
456,7,0.0,4567
4567,8,46170.898188077845,45678
45678,5,-1000000,45678
45678,5,-1000000,45678
45678,2,-2806024.505077703,245678
245678,7,-1000000,245678
245678,6,-1000000,245678
245678,1,2813882.0180602865,1245678
1245678,5,-1000000,1245678
1245678,7,-1000000,1245678
1245678,3,-894351.0665953942,12345678
12345678,6,-1000000,12345678
12345678,4,-1000000,12345678
12345678,0,2318180.664944945,012345678
012345678,2,-1000000,012345678
,0,2340106.915253657,0
0,3,0.0,03
03,3,-1000000,03
03,8,2808594.1048810845,038
038,3,-1000000,038
038,4,-2808543.0327343713,0348
0348,6,155073.3945620344,03468
03468,4,-1000000,03468
03468,6,-1000000,03468
03468,6,-1000000,03468
03468,7,2614061.0172085958,034678
034678,7,-1000000,034678
034678,8,-1000000,034678
034678,4,-1000000,034678
034678,0,-1000000,034678
034678,1,328167.7175651705,0134678
0134678,0,-1000000,0134678
0134678,7,-1000000,0134678
0134678,6,-1000000,0134678
0134678,4,-1000000,0134678
0134678,8,-1000000,0134678
0134678,6,-1000000,0134678
0134678,7,-1000000,0134678
0134678,3,-1000000,0134678
0134678,0,-1000000,0134678
0134678,1,-1000000,0134678
0134678,4,-1000000,0134678
0134678,6,-1000000,0134678
0134678,1,-1000000,0134678
0134678,6,-1000000,0134678
0134678,4,-1000000,0134678
0134678,0,-1000000,0134678
0134678,3,-1000000,0134678
0134678,7,-1000000,0134678
0134678,7,-1000000,0134678
0134678,0,-1000000,0134678
0134678,8,-1000000,0134678
0134678,3,-1000000,0134678
0134678,7,-1000000,0134678
0134678,6,-1000000,0134678
0134678,3,-1000000,0134678
0134678,5,71.58462661411613,01345678
01345678,2,2928729.3572684648,012345678
012345678,1,-1000000,012345678
,2,2928800.9418950784,2
2,6,2475132.758206405,26
26,5,0.0,256
256,0,-135025.84295274876,0256
0256,6,-1000000,0256
0256,0,-1000000,0256
0256,8,0.0,02568
02568,2,-1000000,02568
02568,2,-1000000,02568
02568,6,-1000000,02568
02568,7,2899957.6613291055,025678
02568,9,0,02568
,4,2899957.661329106,4
4,0,-505626.33999418747,04
04,5,2917094.6763157896,045
045,1,-29039.275476572104,0145
0145,7,126461.44233619329,01457
01457,7,-1000000,01457
01457,8,2808594.1048810845,014578
014578,2,120206.83701399434,0124578
0124578,3,-126461.44233619329,01234578
01234578,7,-1000000,01234578
01234578,8,-1000000,01234578
01234578,6,354149.97492983006,012345678
012345678,7,-1000000,012345678
,5,2917094.6763157896,5
5,4,2899957.661329106,45
45,3,2337822.7996203527,345
345,2,-2888158.132314939,2345
2345,4,-1000000,2345
2345,8,0.0,23458
23458,7,156886.87427571602,234578
234578,8,-1000000,234578
234578,2,-1000000,234578
234578,7,-1000000,234578
234578,1,447486.56344648637,1234578
1234578,6,2410754.1708321534,12345678
12345678,2,-1000000,12345678
12345678,8,-1000000,12345678
12345678,8,-1000000,12345678
12345678,6,-1000000,12345678
12345678,3,-1000000,12345678
12345678,5,-1000000,12345678
12345678,2,-1000000,12345678
12345678,7,-1000000,12345678
12345678,4,-1000000,12345678
12345678,3,-1000000,12345678
12345678,6,-1000000,12345678
12345678,0,-52241.86682319455,012345678
012345678,7,-1000000,012345678
,7,2899957.661329106,7
7,4,0.0,47
47,2,28843.28056597244,247
247,0,2340106.9152536565,0247
0247,2,-1000000,0247
0247,8,0.0,02478
02478,8,-1000000,02478
02478,2,-1000000,02478
02478,1,2942279.80692048,012478
012478,8,-1000000,012478
012478,5,0.0,0124578
0124578,4,-1000000,0124578
0124578,0,-1000000,0124578
0124578,6,61040.33953230269,01245678
01245678,1,-1000000,01245678
01245678,6,-1000000,01245678
01245678,5,-1000000,01245678
01245678,7,-1000000,01245678
01245678,6,-1000000,01245678
01245678,6,-1000000,01245678
01245678,0,-1000000,01245678
01245678,4,-1000000,01245678
01245678,6,-1000000,01245678
01245678,2,-1000000,01245678
01245678,2,-1000000,01245678
01245678,7,-1000000,01245678
01245678,1,-1000000,01245678
01245678,4,-1000000,01245678
01245678,7,-1000000,01245678
01245678,5,-1000000,01245678
01245678,6,-1000000,01245678
01245678,7,-1000000,01245678
01245678,0,-1000000,01245678
01245678,3,-61040.33953230269,012345678
012345678,3,-1000000,012345678
,0,2340106.915253657,0
0,1,2942279.806920479,01
01,0,-1000000,01
01,0,-1000000,01
01,4,0.0,014
014,2,2928800.941895079,0124
0124,8,20757.770525813103,01248
01248,6,0.0,012468
012468,3,1107.5801266478375,0123468
0123468,3,-1000000,0123468
0123468,5,-20757.770525813103,01234568
01234568,6,-1000000,01234568
01234568,2,-1000000,01234568
01234568,3,-1000000,01234568
01234568,3,-1000000,01234568
01234568,7,0.0,012345678
012345678,3,-1000000,012345678
,7,2899957.661329106,7
7,3,-562134.8617087542,37
37,0,290177.0384681644,037
037,2,2928800.941895078,0237
0237,8,0.0,02378
02378,2,-1000000,02378
02378,8,-1000000,02378
02378,4,0.0,023478
023478,2,-1000000,023478
023478,5,9607.779081929475,0234578
0234578,0,-1000000,0234578
0234578,3,-1000000,0234578
0234578,3,-1000000,0234578
0234578,4,-1000000,0234578
0234578,2,-1000000,0234578
0234578,8,-1000000,0234578
0234578,3,-1000000,0234578
0234578,6,0.0,02345678
02345678,0,-1000000,02345678
02345678,6,-1000000,02345678
02345678,8,-1000000,02345678
02345678,1,2644779.1050036913,012345678
012345678,4,-1000000,012345678
,4,2899957.661329106,4
4,2,28843.28056597244,24
24,7,2899957.661329106,247
247,5,-2899957.661329106,2457
2457,0,2340106.9152536565,02457
02457,1,2942279.80692048,012457
012457,5,-1000000,012457
012457,5,-1000000,012457
012457,0,-1000000,012457
012457,3,0.0,0123457
0123457,3,-1000000,0123457
0123457,1,-1000000,0123457
0123457,0,-1000000,0123457
0123457,1,-1000000,0123457
0123457,4,-1000000,0123457
0123457,1,-1000000,0123457
0123457,5,-1000000,0123457
0123457,7,-1000000,0123457
0123457,5,-1000000,0123457
0123457,7,-1000000,0123457
0123457,8,0.0,01234578
01234578,1,-1000000,01234578
01234578,8,-1000000,01234578
01234578,1,-1000000,01234578
01234578,0,-1000000,01234578
01234578,5,-1000000,01234578
01234578,6,0.0,012345678
012345678,7,-1000000,012345678
,0,2340106.915253657,0
0,5,2917094.676315789,05
05,7,0.0,057
057,5,-1000000,057
057,2,11706.265579288825,0257
0257,1,2942279.80692048,01257
01257,0,-1000000,01257
01257,2,-1000000,01257
01257,2,-1000000,01257
01257,3,0.0,012357
012357,0,-1000000,012357
012357,3,-1000000,012357
012357,8,0.0,0123578
0123578,5,-1000000,0123578
0123578,5,-1000000,0123578
0123578,7,-1000000,0123578
0123578,7,-1000000,0123578
0123578,3,-1000000,0123578
0123578,8,-1000000,0123578
0123578,2,-1000000,0123578
0123578,4,0.0,01234578
01234578,0,-1000000,01234578
01234578,3,-1000000,01234578
01234578,8,-1000000,01234578
01234578,5,-1000000,01234578
01234578,3,-1000000,01234578
01234578,8,-1000000,01234578
01234578,3,-1000000,01234578
01234578,6,2153.2752229003236,012345678
012345678,8,-1000000,012345678
,7,2899957.661329106,7
7,0,2340106.9152536574,07
07,6,238230.49032053538,067
067,1,42322.145591372624,0167
0167,3,-238230.49032053538,01367
01367,2,2928800.941895079,012367
012367,8,40335.19394845888,0123678
0123678,4,-40335.19394845888,01234678
01234678,4,-1000000,01234678
01234678,2,-1000000,01234678
01234678,0,-1000000,01234678
01234678,7,-1000000,01234678
01234678,4,-1000000,01234678
01234678,7,-1000000,01234678
01234678,7,-1000000,01234678
01234678,7,-1000000,01234678
01234678,4,-1000000,01234678
01234678,1,-1000000,01234678
01234678,1,-1000000,01234678
01234678,6,-1000000,01234678
01234678,6,-1000000,01234678
01234678,7,-1000000,01234678
01234678,8,-1000000,01234678
01234678,3,-1000000,01234678
01234678,7,-1000000,01234678
01234678,8,-1000000,01234678
01234678,5,0.0,012345678
012345678,3,-1000000,012345678
,1,2942279.8069204786,1
1,5,0.0,15
15,0,2340106.9152536574,015
015,5,-1000000,015
015,3,0.0,0135
0135,1,-1000000,0135
0135,2,2928800.941895079,01235
01235,1,-1000000,01235
01235,3,-1000000,01235
01235,6,0.0,012356
012356,6,-1000000,012356
012356,5,-1000000,012356
012356,8,74735.21371818241,0123568
0123568,1,-1000000,0123568
0123568,6,-1000000,0123568
0123568,2,-1000000,0123568
0123568,6,-1000000,0123568
0123568,4,-74735.21371818241,01234568
01234568,7,0.0,012345678
012345678,2,-1000000,012345678
,4,2899957.661329106,4
4,6,0.0,46
46,1,159764.5630364893,146
146,3,0.0,1346
1346,1,-1000000,1346
1346,0,2222664.4978085407,01346
01346,8,2808594.1048810845,013468
013468,4,-1000000,013468
013468,5,-2808592.542125903,0134568
0134568,8,-1000000,0134568
0134568,4,-1000000,0134568
0134568,3,-1000000,0134568
0134568,2,2928799.3791398974,01234568
01234568,4,-1000000,01234568
01234568,0,-1000000,01234568
01234568,4,-1000000,01234568
01234568,7,518795.47679126076,012345678
012345678,2,-1000000,012345678
,4,2899957.661329106,4
4,7,0.0,47
47,3,2337822.799620352,347
347,6,0.0,3467
3467,0,-2893230.4746217728,03467
03467,6,-1000000,03467
03467,2,2928570.199639964,023467
023467,6,-1000000,023467
023467,6,-1000000,023467
023467,7,-1000000,023467
023467,7,-1000000,023467
023467,2,-1000000,023467
023467,2,-1000000,023467
023467,3,-1000000,023467
023467,3,-1000000,023467
023467,1,2938067.4781015655,0123467
0123467,1,-1000000,0123467
0123467,2,-1000000,0123467
0123467,3,-1000000,0123467
0123467,6,-1000000,0123467
0123467,3,-1000000,0123467
0123467,3,-1000000,0123467
0123467,5,0.0,01234567
01234567,0,-1000000,01234567
01234567,1,-1000000,01234567
01234567,0,-1000000,01234567
01234567,2,-1000000,01234567
01234567,1,-1000000,01234567
01234567,6,-1000000,01234567
01234567,6,-1000000,01234567
01234567,6,-1000000,01234567
01234567,8,0.0,012345678
012345678,0,-1000000,012345678
,6,2475132.7582064047,6
6,5,2917094.67631579,56
56,4,712061.1617687112,456
456,7,0.0,4567
4567,6,-1000000,4567
4567,7,-1000000,4567
4567,7,-1000000,4567
4567,5,-1000000,4567
4567,1,-2868511.004069886,14567
14567,0,2046609.1299531162,014567
014567,4,-1000000,014567
014567,7,-1000000,014567
014567,2,2928800.941895079,0124567
0124567,8,1031030.0422625728,01245678
01245678,0,-1000000,01245678
01245678,0,-1000000,01245678
01245678,6,-1000000,01245678
01245678,1,-1000000,01245678
01245678,8,-1000000,01245678
01245678,1,-1000000,01245678
01245678,6,-1000000,01245678
01245678,4,-1000000,01245678
01245678,0,-1000000,01245678
01245678,4,-1000000,01245678
01245678,5,-1000000,01245678
01245678,1,-1000000,01245678
01245678,8,-1000000,01245678
01245678,3,0.0,012345678
012345678,1,-1000000,012345678
,5,2917094.6763157896,5
5,4,2899957.661329106,45
45,4,-1000000,45
45,0,-559850.7460754495,045
045,1,25185.13060468994,0145
0145,3,0.0,01345
01345,7,0.0,013457
013457,7,-1000000,013457
013457,4,-1000000,013457
013457,4,-1000000,013457
013457,8,2808594.1048810845,0134578
0134578,1,-1000000,0134578
0134578,7,-1000000,0134578
0134578,1,-1000000,0134578
0134578,0,-1000000,0134578
0134578,8,-1000000,0134578
0134578,7,-1000000,0134578
0134578,3,-1000000,0134578
0134578,7,-1000000,0134578
0134578,0,-1000000,0134578
0134578,6,125495.11442892347,01345678
01345678,6,-1000000,01345678
01345678,6,-1000000,01345678
01345678,6,-1000000,01345678
01345678,6,-1000000,01345678
01345678,2,120206.83701399434,012345678
012345678,5,-1000000,012345678
,8,2808594.1048810845,8
8,1,2942279.806920479,18
18,0,2340106.915253657,018
018,5,-2796230.134182414,0158
0158,7,0.0,01578
01578,5,-1000000,01578
01578,6,0.0,015678
015678,0,-1000000,015678
015678,6,-1000000,015678
015678,5,-1000000,015678
015678,7,-1000000,015678
015678,7,-1000000,015678
015678,3,0.0,0135678
0135678,4,-0.08140869997441769,01345678
01345678,1,-1000000,01345678
01345678,5,-1000000,01345678
01345678,5,-1000000,01345678
01345678,1,-1000000,01345678
01345678,4,-1000000,01345678
01345678,0,-1000000,01345678
01345678,5,-1000000,01345678
01345678,4,-1000000,01345678
01345678,2,2916437.0526051084,012345678
012345678,7,-1000000,012345678
,8,2808594.1048810845,8
8,8,-1000000,8
8,6,2475132.7582064047,68
68,3,-137309.958586053,368
368,5,108500.57143470459,3568
3568,2,332004.80458894186,23568
23568,2,-1000000,23568
23568,5,-1000000,23568
23568,8,-1000000,23568
23568,1,284158.46829047427,123568
123568,1,-1000000,123568
123568,5,-1000000,123568
123568,2,-1000000,123568
123568,1,-1000000,123568
123568,7,0.0,1235678
1235678,7,-1000000,1235678
1235678,0,2340106.915253658,01235678
01235678,5,-1000000,01235678
01235678,6,-1000000,01235678
01235678,8,-1000000,01235678
01235678,2,-1000000,01235678
01235678,8,-1000000,01235678
01235678,7,-1000000,01235678
01235678,8,-1000000,01235678
01235678,0,-1000000,01235678
01235678,3,-1000000,01235678
01235678,2,-1000000,01235678
01235678,1,-1000000,01235678
01235678,8,-1000000,01235678
01235678,6,-1000000,01235678
01235678,4,850.2741847392172,012345678
012345678,2,-1000000,012345678
,3,2337822.7996203518,3
3,4,2899957.6613291064,34
34,0,-2887452.961332318,034
034,6,638.7686642957851,0346
0346,8,2010078.9531804523,03468
03468,0,-1000000,03468
03468,3,-1000000,03468
03468,2,915009.4124566093,023468
023468,8,-1000000,023468
023468,8,-1000000,023468
023468,0,-1000000,023468
023468,5,57233.94004867133,0234568
0234568,8,-1000000,0234568
0234568,6,-1000000,0234568
0234568,7,1560790.4770094845,02345678
02345678,6,-1000000,02345678
02345678,7,-1000000,02345678
02345678,1,1317747.381756857,012345678
012345678,8,-1000000,012345678
,6,2475132.7582064047,6
6,3,-137309.958586053,36
36,6,-1000000,36
36,6,-1000000,36
36,8,2808594.1048810845,368
368,7,251363.70096185617,3678
3678,0,213399.35265507828,03678
03678,2,153196.7264467962,023678
023678,1,2479800.8689368507,0123678
0123678,2,-1000000,0123678
0123678,5,-32756.064205926843,01235678
01235678,3,-1000000,01235678
01235678,6,-1000000,01235678
01235678,5,-1000000,01235678
01235678,0,-1000000,01235678
01235678,1,-1000000,01235678
01235678,6,-1000000,01235678
01235678,0,-1000000,01235678
01235678,8,-1000000,01235678
01235678,3,-1000000,01235678
01235678,6,-1000000,01235678
01235678,2,-1000000,01235678
01235678,0,-1000000,01235678
01235678,3,-1000000,01235678
01235678,7,-1000000,01235678
01235678,1,-1000000,01235678
01235678,3,-1000000,01235678
01235678,5,-1000000,01235678
01235678,7,-1000000,01235678
01235678,7,-1000000,01235678
01235678,1,-1000000,01235678
01235678,4,552.0650031194091,012345678
012345678,2,-1000000,012345678
,7,2899957.661329106,7
7,7,-1000000,7
7,1,42322.145591372624,17
17,3,0.0,137
137,1,-1000000,137
137,5,0.0,1357
1357,2,2928800.9418950784,12357
12357,2,-1000000,12357
12357,0,2340106.915253658,012357
012357,7,-1000000,012357
012357,6,0.0,0123567
0123567,5,-1000000,0123567
0123567,4,0.0,01234567
01234567,2,-1000000,01234567
01234567,7,-1000000,01234567
01234567,6,-1000000,01234567
01234567,3,-1000000,01234567
01234567,4,-1000000,01234567
01234567,0,-1000000,01234567
01234567,6,-1000000,01234567
01234567,2,-1000000,01234567
01234567,5,-1000000,01234567
01234567,8,0.0,012345678
012345678,8,-1000000,012345678
,6,2475132.7582064047,6
6,1,2942279.806920478,16
16,5,56398.39810638409,156
156,7,8570.859866242856,1567
1567,3,-2483703.6180726476,13567
13567,2,2872402.543788695,123567
123567,8,5293.42954758741,1235678
1235678,2,-1000000,1235678
1235678,4,-5293.42954758741,12345678
12345678,8,-1000000,12345678
12345678,7,-1000000,12345678
12345678,3,-1000000,12345678
12345678,2,-1000000,12345678
12345678,5,-1000000,12345678
12345678,0,2340106.915253658,012345678
012345678,0,-1000000,012345678
,5,2917094.6763157896,5
5,3,2337822.7996203513,35
35,7,0.0,357
357,6,1292.014929914847,3567
3567,1,-2310365.0884156995,13567
13567,3,-1000000,13567
13567,0,2337555.4236082644,013567
013567,7,-1000000,013567
013567,0,-1000000,013567
013567,7,-1000000,013567
013567,1,-1000000,013567
013567,5,-1000000,013567
013567,6,-1000000,013567
013567,3,-1000000,013567
013567,1,-1000000,013567
013567,1,-1000000,013567
013567,5,-1000000,013567
013567,1,-1000000,013567
013567,1,-1000000,013567
013567,2,2927787.8380105942,0123567
0123567,2,-1000000,0123567
0123567,1,-1000000,0123567
0123567,8,0.0,01235678
01235678,0,-1000000,01235678
01235678,0,-1000000,01235678
01235678,2,-1000000,01235678
01235678,2,-1000000,01235678
01235678,8,-1000000,01235678
01235678,8,-1000000,01235678
01235678,7,-1000000,01235678
01235678,0,-1000000,01235678
01235678,6,-1000000,01235678
01235678,3,-1000000,01235678
01235678,5,-1000000,01235678
01235678,7,-1000000,01235678
01235678,4,0.0,012345678
012345678,7,-1000000,012345678
,5,2917094.6763157896,5
5,3,2337822.7996203513,35
35,3,-1000000,35
35,5,-1000000,35
35,3,-1000000,35
35,0,2284.115633305162,035
035,3,-1000000,035
035,6,1903024.3445222778,0356
0356,4,-1865980.1737506064,03456
03456,2,-6199.749531550333,023456
023456,4,-1000000,023456
023456,3,-1000000,023456
023456,7,2899957.6613291055,0234567
0234567,2,-1000000,0234567
0234567,6,-1000000,0234567
0234567,8,137996.9190713307,02345678
02345678,4,-1000000,02345678
02345678,4,-1000000,02345678
02345678,8,-1000000,02345678
02345678,2,-1000000,02345678
02345678,7,-1000000,02345678
02345678,6,-1000000,02345678
02345678,5,-1000000,02345678
02345678,8,-1000000,02345678
02345678,3,-1000000,02345678
02345678,5,-1000000,02345678
02345678,0,-1000000,02345678
02345678,1,42322.14559137449,012345678
012345678,0,-1000000,012345678
,1,2942279.8069204786,1
1,0,2340106.9152536574,01
01,2,2928800.941895079,012
012,6,0.0,0126
0126,6,-1000000,0126
0126,1,-1000000,0126
0126,0,-1000000,0126
0126,1,-1000000,0126
0126,8,0.0,01268
01268,6,-1000000,01268
01268,2,-1000000,01268
01268,5,0.0,012568
012568,2,-1000000,012568
012568,4,47562.883382786065,0124568
0124568,4,-1000000,0124568
0124568,4,-1000000,0124568
0124568,8,-1000000,0124568
0124568,3,0.0,01234568
01234568,7,198642.76246838644,012345678
012345678,8,-1000000,012345678
,4,2899957.661329106,4
4,6,281248.4154936229,46
46,6,-1000000,46
46,8,0.0,468
468,2,28850.79681433551,2468
2468,5,39434.88136540167,24568
24568,6,-1000000,24568
24568,8,-1000000,24568
24568,2,-1000000,24568
24568,8,-1000000,24568
24568,0,2058850.9835116714,024568
024568,2,-1000000,024568
024568,4,-1000000,024568
024568,3,95468.07047482487,0234568
0234568,6,-1000000,0234568
0234568,7,602780.0054340567,02345678
02345678,0,-1000000,02345678
02345678,5,-1000000,02345678
02345678,8,-1000000,02345678
02345678,8,-1000000,02345678
02345678,4,-1000000,02345678
02345678,1,2204596.849646196,012345678
012345678,2,-1000000,012345678
,6,2475132.7582064047,6
6,4,436845.1797540849,46
46,1,45440.513976268005,146
146,3,84077.87748483988,1346
1346,3,-1000000,1346
1346,0,2240890.3927525384,01346
01346,5,0.05870767403393984,013456
013456,4,-1000000,013456
013456,7,0.0,0134567
0134567,6,-1000000,0134567
0134567,2,2928800.883187405,01234567
01234567,5,-1000000,01234567
01234567,8,0.0,012345678
012345678,0,-1000000,012345678
,0,2340106.915253657,0
0,3,145.25619222735986,03
03,4,108301.11172541277,034
034,7,1667974.2534857625,0347
0347,0,-1000000,0347
0347,5,1402421.3501058798,03457
03457,4,-1000000,03457
03457,4,-1000000,03457
03457,8,0.0,034578
034578,4,-1000000,034578
034578,4,-1000000,034578
034578,7,-1000000,034578
034578,5,-1000000,034578
034578,4,-1000000,034578
034578,7,-1000000,034578
034578,8,-1000000,034578
034578,6,0.0,0345678
0345678,5,-1000000,0345678
0345678,5,-1000000,0345678
0345678,5,-1000000,0345678
0345678,8,-1000000,0345678
0345678,5,-1000000,0345678
0345678,2,-96566.28911692649,02345678
02345678,3,-1000000,02345678
02345678,8,-1000000,02345678
02345678,6,-1000000,02345678
02345678,3,-1000000,02345678
02345678,7,-1000000,02345678
02345678,1,2788805.066423202,012345678
012345678,6,-1000000,012345678
,8,2808594.1048810845,8
8,7,2899957.6613291064,78
78,3,-560236.375794515,378
378,5,130670.25681969337,3578
3578,7,-1000000,3578
3578,5,-1000000,3578
3578,2,-12361.90571993962,23578
23578,7,-1000000,23578
23578,1,604457.0073001273,123578
123578,5,-1000000,123578
123578,4,0.0,1234578
1234578,4,-1000000,1234578
1234578,0,2340106.915253658,01234578
01234578,2,-1000000,01234578
01234578,1,-1000000,01234578
01234578,2,-1000000,01234578
01234578,6,27590.260777260177,012345678
012345678,8,-1000000,012345678
,4,2899957.661329106,4
4,7,112802.78944938304,47
47,2,28843.28056597244,247
247,3,2225020.0101709682,2347
2347,4,-1000000,2347
2347,8,0.0,23478
23478,1,605216.7718296908,123478
123478,1,-1000000,123478
123478,3,-1000000,123478
123478,1,-1000000,123478
123478,6,2055843.3142824937,1234678
1234678,1,-1000000,1234678
1234678,2,-1000000,1234678
1234678,5,0.0,12345678
12345678,3,-1000000,12345678
12345678,1,-1000000,12345678
12345678,0,292353.6268384978,012345678
012345678,3,-1000000,012345678
,2,2928800.9418950784,2
2,8,0.0,28
28,8,-1000000,28
28,4,11712.890175851062,248
248,1,2930566.9167446275,1248
1248,0,2340106.915253658,01248
01248,2,-1000000,01248
01248,4,-1000000,01248
01248,0,-1000000,01248
01248,8,-1000000,01248
01248,6,52532.376998947,012468
012468,1,-1000000,012468
012468,7,494186.27348110545,0124678
0124678,6,-1000000,0124678
0124678,3,-546718.6504800525,01234678
01234678,8,-1000000,01234678
01234678,2,-1000000,01234678
01234678,1,-1000000,01234678
01234678,6,-1000000,01234678
01234678,8,-1000000,01234678
01234678,7,-1000000,01234678
01234678,5,17297.557105702348,012345678
012345678,6,-1000000,012345678
,6,2475132.7582064047,6
6,7,2899957.6613291055,67
67,4,-575440.9228332862,467
467,8,0.0,4678
4678,8,-1000000,4678
4678,6,-1000000,4678
4678,0,-2459542.121008423,04678
04678,2,2928800.941895078,024678
024678,6,-1000000,024678
024678,0,-1000000,024678
024678,3,758.2878702608868,0234678
0234678,1,2941521.058610075,01234678
01234678,3,-1000000,01234678
01234678,8,-1000000,01234678
01234678,1,-1000000,01234678
01234678,1,-1000000,01234678
01234678,7,-1000000,01234678
01234678,2,-1000000,01234678
01234678,3,-1000000,01234678
01234678,8,-1000000,01234678
01234678,8,-1000000,01234678
01234678,1,-1000000,01234678
01234678,4,-1000000,01234678
01234678,3,-1000000,01234678
01234678,6,-1000000,01234678
01234678,5,26303.383611669764,012345678
012345678,2,-1000000,012345678
,2,2928800.9418950784,2
2,2,-1000000,2
2,8,0.0,28
28,3,2337822.7996203513,238
238,1,676076.9216857543,1238
1238,1,-1000000,1238
1238,1,-1000000,1238
1238,6,591971.882949329,12368
12368,4,-591971.882949329,123468
123468,1,-1000000,123468
123468,6,-1000000,123468
123468,0,2268487.000868031,0123468
0123468,1,-1000000,0123468
0123468,8,-1000000,0123468
0123468,1,-1000000,0123468
0123468,4,-1000000,0123468
0123468,5,0.0,01234568
01234568,2,-1000000,01234568
01234568,3,-1000000,01234568
01234568,8,-1000000,01234568
01234568,5,-1000000,01234568
01234568,7,0.0,012345678
012345678,3,-1000000,012345678
,6,2475132.7582064047,6
6,1,2942279.806920478,16
16,4,-2475132.7582064043,146
146,7,21430.58515796205,1467
1467,6,-1000000,1467
1467,8,2808594.1048810845,14678
14678,8,-1000000,14678
14678,5,-2829944.3484734944,145678
145678,0,2340106.9152536574,0145678
0145678,0,-1000000,0145678
0145678,5,-1000000,0145678
0145678,6,-1000000,0145678
0145678,7,-1000000,0145678
0145678,7,-1000000,0145678
0145678,5,-1000000,0145678
0145678,5,-1000000,0145678
0145678,4,-1000000,0145678
0145678,7,-1000000,0145678
0145678,4,-1000000,0145678
0145678,0,-1000000,0145678
0145678,7,-1000000,0145678
0145678,6,-1000000,0145678
0145678,5,-1000000,0145678
0145678,4,-1000000,0145678
0145678,5,-1000000,0145678
0145678,5,-1000000,0145678
0145678,7,-1000000,0145678
0145678,8,-1000000,0145678
0145678,1,-1000000,0145678
0145678,8,-1000000,0145678
0145678,1,-1000000,0145678
0145678,4,-1000000,0145678
0145678,5,-1000000,0145678
0145678,7,-1000000,0145678
0145678,0,-1000000,0145678
0145678,5,-1000000,0145678
0145678,6,-1000000,0145678
0145678,6,-1000000,0145678
0145678,5,-1000000,0145678
0145678,1,-1000000,0145678
0145678,8,-1000000,0145678
0145678,7,-1000000,0145678
0145678,4,-1000000,0145678
0145678,5,-1000000,0145678
0145678,8,-1000000,0145678
0145678,4,-1000000,0145678
0145678,7,-1000000,0145678
0145678,6,-1000000,0145678
0145678,3,0.0,01345678
01345678,4,-1000000,01345678
01345678,3,-1000000,01345678
01345678,8,-1000000,01345678
01345678,4,-1000000,01345678
01345678,1,-1000000,01345678
01345678,0,-1000000,01345678
01345678,3,-1000000,01345678
01345678,4,-1000000,01345678
01345678,7,-1000000,01345678
01345678,7,-1000000,01345678
01345678,2,2928720.6003295267,012345678
012345678,0,-1000000,012345678
,1,2942279.8069204786,1
1,1,-1000000,1
1,0,2340106.9152536574,01
01,2,2928800.941895079,012
012,1,-1000000,012
012,4,20883.348316160962,0124
0124,3,0.0,01234
01234,2,-1000000,01234
